 185.104.182.64 is reachable, taken time: 974.94 ms
 79.139.60.97 is reachable, taken time: 96.05 ms
 85.239.69.14 is reachable, taken time: 768.68 ms
 141.101.90.96 is reachable, taken time: 125.12 ms
 195.72.120.33 is reachable, taken time: 130.76 ms
 185.18.139.126 is reachable, taken time: 144.44 ms
 104.17.157.36 is reachable, taken time: 22.28 ms
 23.227.38.74 is reachable, taken time: 43.45 ms

 ----   2024-10-10 09:06:20 ---- 
 160.75.25.62 is reachable, taken time: 28.29 ms
 185.45.67.130 is reachable, taken time: 53.17 ms
 185.104.182.64 is reachable, taken time: 902.38 ms
 79.139.60.97 is reachable, taken time: 93.51 ms
 85.239.69.14 is reachable, taken time: 382.84 ms
 141.101.90.96 is reachable, taken time: 124.02 ms
 195.72.120.33 is reachable, taken time: 138.83 ms
 185.18.139.126 is reachable, taken time: 145.18 ms
 104.17.157.36 is reachable, taken time: 35.59 ms
 23.227.38.74 is reachable, taken time: 33.80 ms

 ----   2024-10-10 14:30:16 ---- 
 160.75.25.62 is reachable, taken time: 30.97 ms
 185.45.67.130 is reachable, taken time: 328.54 ms
 185.104.182.64 is reachable, taken time: 2298.71 ms
 79.139.60.97 is reachable, taken time: 65.42 ms
 85.239.69.14 is reachable, taken time: 973.41 ms
 141.101.90.96 is reachable, taken time: 122.99 ms
 195.72.120.33 is reachable, taken time: 170.43 ms
 185.18.139.126 is reachable, taken time: 125.38 ms
 104.17.157.36 is reachable, taken time: 18.94 ms
 23.227.38.74 is reachable, taken time: 28.18 ms

 ----   2024-10-10 14:32:03 ---- 
 160.75.25.62 is reachable, taken time: 18.77 ms
 185.45.67.130 is reachable, taken time: 49.11 ms
 185.104.182.64 is reachable, taken time: 754.24 ms
 79.139.60.97 is reachable, taken time: 75.48 ms
 85.239.69.14 is reachable, taken time: 464.39 ms
 141.101.90.96 is reachable, taken time: 116.45 ms
 195.72.120.33 is reachable, taken time: 134.52 ms
 185.18.139.126 is reachable, taken time: 133.17 ms
 104.17.157.36 is reachable, taken time: 15.54 ms
 23.227.38.74 is reachable, taken time: 15.98 ms

 ----   2024-10-10 14:34:03 ---- 
 160.75.25.62 is reachable, taken time: 16.98 ms
 185.45.67.130 is reachable, taken time: 69.51 ms
 185.104.182.64 is reachable, taken time: 829.85 ms
 79.139.60.97 is reachable, taken time: 66.90 ms
 85.239.69.14 is reachable, taken time: 362.39 ms
 141.101.90.96 is reachable, taken time: 124.93 ms
 195.72.120.33 is reachable, taken time: 124.67 ms
 185.18.139.126 is reachable, taken time: 134.30 ms
 104.17.157.36 is reachable, taken time: 16.16 ms
 23.227.38.74 is reachable, taken time: 16.07 ms

 ----   2024-10-10 14:36:07 ---- 
 160.75.25.62 is reachable, taken time: 23.29 ms
 185.45.67.130 is reachable, taken time: 46.21 ms
 185.104.182.64 is reachable, taken time: 805.31 ms
 79.139.60.97 is reachable, taken time: 69.49 ms
 85.239.69.14 is reachable, taken time: 361.54 ms
